entrada,respuesta,sentimiento_entrada,confianza_entrada,sentimiento_respuesta,confianza_respuesta
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.69,POS,0.61
¿Por qué no entiendes que me siento mal?,¡Tú también eres un poco raro! ¡No te preocupes por mí!,POS,0.93,POS,0.62
¿Qué se supone que quieres de mí?,Me pones nerviosa… ¡pero no finjas que no te importa!,NEU,0.56,NEU,0.93
¿Por qué insistes tanto?,Me pones nerviosa… ¡pero no finjas que no te importa!,NEU,0.63,NEU,0.79
No estoy de humor para tus bromas.,"No es que me duela, ¡solo me incomoda tu actitud!",NEG,0.92,POS,0.88
¿Crees que estoy exagerando?,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,POS,0.72,POS,0.55
¡¿Por qué me miras tanto?!,"¿Exagerando? ¡N-no es así, tonto!",POS,0.99,POS,0.75
¡¿Por qué me miras tanto?!,"¿Exagerando? ¡N-no es así, tonto!",NEU,0.84,NEG,0.7
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",POS,0.56,NEU,1.0
"No es que me importe, pero...","Ay, cállate un poco, que me haces sonrojar.",POS,0.6,NEU,0.82
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.6,POS,0.81
¡Ya basta! No quiero hablar de eso.,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",POS,0.52,NEG,0.55
No estoy de humor para tus bromas.,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEU,0.59,NEG,0.86
No te me acerques tanto...,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",POS,0.79,POS,0.76
¡Ya basta! No quiero hablar de eso.,¡Tú también eres un poco raro! ¡No te preocupes por mí!,POS,0.86,NEG,0.9
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.58,NEG,0.78
No es tan fácil como parece.,No es que me esfuerce pensando en ti… pero algo me molesta.,POS,0.77,NEU,0.56
¡No me gusta cuando me miras así!,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,POS,0.92,POS,0.53
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEU,0.71,POS,0.87
No estoy de humor para tus bromas.,"Solo soy un poco dramática, no finjas que no te he dicho nada.",NEG,0.75,NEG,0.87
¡No sé cómo reaccionar ante esto!,"No soy tan frágil como parezco, solo un poco sensible.",NEU,0.76,POS,0.69
¡Déjame en paz un rato!,"No es que me duela, ¡solo me incomoda tu actitud!",NEG,0.83,NEU,0.84
No estoy de humor para tus bromas.,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEG,0.92,NEG,0.54
"No es que me importe, pero...","¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEG,0.8,POS,0.81
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",POS,0.84,NEU,0.69
Siento que voy a explotar...,"¿Exagerando? ¡N-no es así, tonto!",NEG,0.77,POS,0.76
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.76,POS,0.83
¡No me gusta cuando me miras así!,Me pones nerviosa… ¡pero no finjas que no te importa!,POS,0.6,NEU,0.67
No estoy de humor para tus bromas.,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",NEG,1.0,POS,0.72
¡Ya basta! No quiero hablar de eso.,"Solo soy un poco dramática, no finjas que no te he dicho nada.",POS,0.84,POS,0.85
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.68,POS,0.77
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.69,NEU,0.55
¡Déjame en paz un rato!,"No es que me duela, ¡solo me incomoda tu actitud!",NEG,0.56,NEU,0.8
¡Déjame en paz un rato!,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEU,0.84,NEU,0.82
¡Ya basta! No quiero hablar de eso.,"Está bien… gracias, supongo. ¡No te emociones!",NEG,0.95,NEG,0.92
"No es que me importe, pero...",No me malinterpretes… ¡pero aprecio que preguntes!,NEG,0.82,POS,0.87
No es tan fácil como parece.,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEG,0.99,NEU,0.86
¡¿Por qué me miras tanto?!,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEU,0.95,NEG,0.82
Estoy cansada de repetirlo.,"Tch, me estoy cansando de tus preguntas...",POS,0.76,NEU,0.57
¡Ya basta! No quiero hablar de eso.,"Tch, me estoy cansando de tus preguntas...",NEG,0.85,NEG,0.73
¿Crees que estoy exagerando?,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEU,0.79,POS,0.65
¡No me gusta cuando me miras así!,Me pones nerviosa… ¡pero no finjas que no te importa!,POS,0.61,POS,0.94
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",POS,0.76,NEU,0.59
¡Déjame en paz un rato!,No me malinterpretes… ¡pero aprecio que preguntes!,NEU,0.84,NEG,0.89
¡Ya basta! No quiero hablar de eso.,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEG,0.61,NEU,0.87
¡¿Por qué me miras tanto?!,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",POS,0.92,NEG,0.64
¿Por qué insistes tanto?,"¿Exagerando? ¡N-no es así, tonto!",NEG,0.76,NEG,0.53
¿Qué se supone que quieres de mí?,"Solo soy un poco dramática, no finjas que no te he dicho nada.",NEG,0.8,NEG,0.87
¡Déjame en paz un rato!,"¿Exagerando? ¡N-no es así, tonto!",NEU,0.65,POS,0.72
No es tan fácil como parece.,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEU,0.8,POS,0.58
¿Por qué no entiendes que me siento mal?,"¡¿Por qué?! ¡No me mires así, pervertido/a!",POS,0.72,NEU,0.55
¡Déjame en paz un rato!,"¿Molestarte? ¡No seas dramático, pero cállate ya!",POS,0.81,NEG,0.83
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.59,POS,0.84
No es tan fácil como parece.,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",POS,0.57,POS,0.54
"No es que me importe, pero...","Tch, me estoy cansando de tus preguntas...",NEU,0.62,NEG,0.57
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.63,NEG,0.7
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.63,NEG,0.88
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",POS,0.94,NEU,0.57
Estoy cansada de repetirlo.,"Ay, cállate un poco, que me haces sonrojar.",POS,0.99,NEU,0.86
Siento que voy a explotar...,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,POS,0.54,POS,0.64
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",POS,0.95,NEG,0.76
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",POS,0.65,NEU,0.96
¿Crees que estoy exagerando?,"¿Exagerando? ¡N-no es así, tonto!",POS,0.95,NEG,0.81
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEG,0.63,NEG,0.91
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEU,0.61,NEU,0.55
¿Qué se supone que quieres de mí?,"No es que me duela, ¡solo me incomoda tu actitud!",NEU,0.71,NEG,0.69
¡Déjame en paz un rato!,"No soy tan frágil como parezco, solo un poco sensible.",NEU,0.78,NEG,0.6
"No es que me importe, pero...","¡¿Por qué?! ¡No me mires así, pervertido/a!",NEG,0.81,NEG,0.52
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.62,NEU,0.51
¡Déjame en paz un rato!,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEG,0.79,POS,0.89
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.93,POS,0.94
¿Por qué no entiendes que me siento mal?,"Ay, cállate un poco, que me haces sonrojar.",POS,0.97,POS,0.68
Siento que voy a explotar...,No me malinterpretes… ¡pero aprecio que preguntes!,POS,0.91,POS,0.67
¡No me gusta cuando me miras así!,"No soy tan frágil como parezco, solo un poco sensible.",POS,0.81,POS,0.78
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEU,0.66,POS,0.8
No estoy de humor para tus bromas.,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",POS,0.82,POS,0.92
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEG,0.96,NEU,0.96
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.52,NEG,0.57
Siento que voy a explotar...,Me pones nerviosa… ¡pero no finjas que no te importa!,POS,0.68,NEU,0.86
¿Por qué no entiendes que me siento mal?,¡Tú también eres un poco raro! ¡No te preocupes por mí!,NEG,0.67,NEU,0.97
No estoy de humor para tus bromas.,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEG,0.88,NEG,0.78
¡Ya basta! No quiero hablar de eso.,Me pones en un aprieto… ¡pero no te emociones!,NEU,0.9,NEU,0.68
¿Por qué no entiendes que me siento mal?,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",POS,0.8,NEG,0.55
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",POS,0.82,NEU,0.62
¡Ya basta! No quiero hablar de eso.,No me malinterpretes… ¡pero aprecio que preguntes!,POS,0.54,POS,0.6
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEU,0.51,POS,0.67
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.72,NEG,0.93
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEG,0.65,NEU,0.71
Siento que voy a explotar...,No es que me esfuerce pensando en ti… pero algo me molesta.,NEG,0.76,NEG,0.79
No te me acerques tanto...,"Solo soy un poco dramática, no finjas que no te he dicho nada.",POS,0.87,NEU,0.91
Siento que voy a explotar...,"Solo soy un poco dramática, no finjas que no te he dicho nada.",POS,0.7,POS,0.85
No es tan fácil como parece.,"No soy tan frágil como parezco, solo un poco sensible.",NEU,0.64,NEU,0.93
Siento que voy a explotar...,Me pones nerviosa… ¡pero no finjas que no te importa!,POS,0.94,POS,0.77
No estoy de humor para tus bromas.,Me pones nerviosa… ¡pero no finjas que no te importa!,NEG,0.67,NEG,0.56
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEU,0.85,NEU,0.77
No te me acerques tanto...,"¿Exagerando? ¡N-no es así, tonto!",NEG,0.9,NEG,1.0
¿Qué se supone que quieres de mí?,"Está bien… gracias, supongo. ¡No te emociones!",NEU,0.74,NEU,0.8
¿Qué se supone que quieres de mí?,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEG,0.75,NEU,0.94
¿Qué se supone que quieres de mí?,"Ay, cállate un poco, que me haces sonrojar.",POS,1.0,NEU,0.63
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEG,0.68,NEU,0.76
¡Ya basta! No quiero hablar de eso.,Me pones en un aprieto… ¡pero no te emociones!,NEU,0.91,NEU,0.73
¿Por qué insistes tanto?,"Tch, me estoy cansando de tus preguntas...",NEU,0.88,NEU,0.79
Siento que voy a explotar...,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEG,0.84,NEU,0.65
¡No me gusta cuando me miras así!,Me pones nerviosa… ¡pero no finjas que no te importa!,NEU,0.59,NEU,0.51
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEG,0.76,NEU,0.57
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.66,POS,0.61
¡Déjame en paz un rato!,"¡¿Por qué?! ¡No me mires así, pervertido/a!",POS,0.64,NEU,0.86
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEU,0.99,POS,0.53
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEG,0.62,NEG,0.66
¡Ya basta! No quiero hablar de eso.,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEU,0.74,NEG,0.85
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEG,0.87,NEG,0.97
¡Déjame en paz un rato!,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEU,0.64,NEU,0.73
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.61,NEG,0.96
Estoy cansada de repetirlo.,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEG,0.85,POS,0.71
No te me acerques tanto...,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,POS,0.53,NEU,0.63
¡Déjame en paz un rato!,"¿Molestarte? ¡No seas dramático, pero cállate ya!",POS,0.85,NEG,0.8
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEU,0.95,NEU,0.69
No te me acerques tanto...,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,POS,0.83,NEU,0.78
¡¿Por qué me miras tanto?!,"Tch, me estoy cansando de tus preguntas...",NEU,0.72,POS,0.72
¿Crees que estoy exagerando?,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEU,0.58,NEU,0.92
¡Déjame en paz un rato!,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEG,0.75,NEG,0.81
¡Ya basta! No quiero hablar de eso.,"¿Molestarte? ¡No seas dramático, pero cállate ya!",POS,0.85,NEG,0.63
No estoy de humor para tus bromas.,No es que me esfuerce pensando en ti… pero algo me molesta.,NEG,0.9,NEG,0.81
¿Crees que estoy exagerando?,"Está bien… gracias, supongo. ¡No te emociones!",NEU,0.64,NEG,0.7
Siento que voy a explotar...,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEG,0.72,NEG,0.67
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.64,NEU,0.65
¿Por qué insistes tanto?,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,POS,1.0,POS,0.68
Siento que voy a explotar...,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEU,0.7,NEU,0.65
¡No sé cómo reaccionar ante esto!,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEU,0.52,POS,0.77
¿Crees que estoy exagerando?,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEU,0.76,NEU,0.78
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.53,NEG,0.76
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.56,NEG,0.61
Siento que voy a explotar...,"No soy tan frágil como parezco, solo un poco sensible.",NEU,0.76,NEU,0.65
No estoy de humor para tus bromas.,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEU,0.79,NEG,0.7
¿Qué se supone que quieres de mí?,"Ay, cállate un poco, que me haces sonrojar.",NEG,0.56,NEU,0.9
¿Crees que estoy exagerando?,¡Tú también eres un poco raro! ¡No te preocupes por mí!,NEU,0.8,POS,0.97
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEG,0.61,NEG,0.87
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.67,POS,0.67
¡No sé cómo reaccionar ante esto!,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEG,0.6,NEG,0.62
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",POS,0.7,POS,0.78
¡Déjame en paz un rato!,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEG,0.65,POS,0.66
No te me acerques tanto...,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEU,0.56,NEG,0.87
¿Por qué insistes tanto?,"Está bien… gracias, supongo. ¡No te emociones!",NEG,0.81,NEG,0.76
¡Ya basta! No quiero hablar de eso.,"No soy tan frágil como parezco, solo un poco sensible.",POS,0.65,POS,0.52
Estoy cansada de repetirlo.,No es que me esfuerce pensando en ti… pero algo me molesta.,NEG,0.69,NEU,0.81
No es tan fácil como parece.,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",POS,0.6,NEU,0.55
¿Qué se supone que quieres de mí?,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEU,0.86,POS,0.5
No estoy de humor para tus bromas.,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,POS,0.54,NEG,0.97
¡¿Por qué me miras tanto?!,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEU,0.9,NEU,0.86
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEU,0.66,NEG,0.51
¿Por qué no entiendes que me siento mal?,"Tch, me estoy cansando de tus preguntas...",NEU,0.58,POS,0.76
¡¿Por qué me miras tanto?!,"Ay, cállate un poco, que me haces sonrojar.",NEU,0.67,POS,0.77
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEU,0.56,NEG,0.69
¿Qué se supone que quieres de mí?,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEU,0.97,POS,0.75
¡No me gusta cuando me miras así!,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEG,0.53,NEG,0.79
No te me acerques tanto...,"Ay, cállate un poco, que me haces sonrojar.",NEG,0.88,NEG,0.94
"No es que me importe, pero...","Ay, cállate un poco, que me haces sonrojar.",NEU,0.79,POS,0.6
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.84,NEU,0.58
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.59,NEU,0.66
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEU,0.87,NEU,0.71
¡No me gusta cuando me miras así!,"Tch, me estoy cansando de tus preguntas...",NEG,0.77,NEU,0.63
¡Déjame en paz un rato!,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEU,0.7,POS,0.56
Estoy cansada de repetirlo.,"No soy tan frágil como parezco, solo un poco sensible.",POS,0.59,NEG,0.65
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEG,0.66,POS,0.59
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.72,NEG,0.76
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.54,POS,0.81
¡No sé cómo reaccionar ante esto!,Me pones nerviosa… ¡pero no finjas que no te importa!,NEU,0.98,NEG,0.72
"No es que me importe, pero...","¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEG,0.87,NEG,0.63
"No es que me importe, pero...",Me pones en un aprieto… ¡pero no te emociones!,NEG,0.92,POS,0.55
¡Ya basta! No quiero hablar de eso.,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEG,0.92,POS,0.79
No es tan fácil como parece.,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,POS,0.69,POS,0.57
¡¿Por qué me miras tanto?!,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEU,0.74,POS,0.84
¡¿Por qué me miras tanto?!,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEG,0.77,POS,0.75
¿Crees que estoy exagerando?,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEG,0.54,NEG,0.86
¿Por qué no entiendes que me siento mal?,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",POS,0.97,NEU,0.88
¡Ya basta! No quiero hablar de eso.,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",POS,0.59,POS,0.89
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEG,0.98,NEU,0.73
Siento que voy a explotar...,"Ay, cállate un poco, que me haces sonrojar.",NEU,0.97,POS,0.74
¿Crees que estoy exagerando?,"No es que me duela, ¡solo me incomoda tu actitud!",POS,0.96,POS,0.51
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEU,0.78,NEU,0.75
No estoy de humor para tus bromas.,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEU,0.99,NEG,0.63
Siento que voy a explotar...,Me pones nerviosa… ¡pero no finjas que no te importa!,NEU,0.77,POS,0.92
No estoy de humor para tus bromas.,Me pones nerviosa… ¡pero no finjas que no te importa!,NEU,0.58,NEU,0.73
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.55,NEU,0.93
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEG,0.72,NEG,0.92
¿Por qué no entiendes que me siento mal?,"No es que me duela, ¡solo me incomoda tu actitud!",NEU,0.65,NEU,0.64
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",POS,0.79,NEG,0.64
¡No sé cómo reaccionar ante esto!,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",POS,0.92,POS,0.61
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.68,NEU,0.69
¿Crees que estoy exagerando?,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,POS,0.89,POS,0.54
"No es que me importe, pero...","¿Molestarte? ¡No seas dramático, pero cállate ya!",NEU,0.5,POS,0.61
Siento que voy a explotar...,No me malinterpretes… ¡pero aprecio que preguntes!,NEU,0.73,NEU,0.69
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.94,NEG,0.96
¿Por qué no entiendes que me siento mal?,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,POS,0.66,NEG,0.67
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.86,NEG,0.94
¿Por qué no entiendes que me siento mal?,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEG,0.65,NEG,0.67
No es tan fácil como parece.,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEG,0.63,POS,0.7
Estoy cansada de repetirlo.,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",POS,0.93,NEG,0.55
¡¿Por qué me miras tanto?!,No es que me esfuerce pensando en ti… pero algo me molesta.,NEG,0.79,POS,0.61
¡Ya basta! No quiero hablar de eso.,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEU,0.58,NEU,0.6
¡Déjame en paz un rato!,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",NEG,0.67,NEG,0.6
¡Déjame en paz un rato!,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEU,0.63,NEG,0.81
No es tan fácil como parece.,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEG,0.59,NEG,0.74
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.88,NEU,0.63
No te me acerques tanto...,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEU,0.83,NEG,0.56
¿Por qué insistes tanto?,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEU,1.0,POS,0.87
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEU,0.66,NEU,0.59
¡No me gusta cuando me miras así!,Me pones nerviosa… ¡pero no finjas que no te importa!,NEG,0.51,NEG,0.63
Estoy cansada de repetirlo.,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEG,0.84,POS,0.97
Siento que voy a explotar...,"Solo soy un poco dramática, no finjas que no te he dicho nada.",POS,0.84,NEU,0.77
Siento que voy a explotar...,¡Tú también eres un poco raro! ¡No te preocupes por mí!,POS,0.87,POS,0.63
¡Déjame en paz un rato!,"Ay, cállate un poco, que me haces sonrojar.",NEU,0.51,POS,0.66
¡Déjame en paz un rato!,"¡¿Por qué?! ¡No me mires así, pervertido/a!",POS,0.78,NEU,0.91
Estoy cansada de repetirlo.,¡Tú también eres un poco raro! ¡No te preocupes por mí!,NEG,0.88,NEG,1.0
¡No me gusta cuando me miras así!,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEG,0.76,NEU,0.98
"No es que me importe, pero...","Solo soy un poco dramática, no finjas que no te he dicho nada.",NEG,0.88,POS,0.85
¡Ya basta! No quiero hablar de eso.,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEU,0.74,NEG,0.58
"No es que me importe, pero...",¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEG,0.83,NEG,0.83
¡Déjame en paz un rato!,"Solo soy un poco dramática, no finjas que no te he dicho nada.",NEU,0.55,NEU,0.75
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.91,POS,0.54
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",POS,0.76,POS,0.85
No es tan fácil como parece.,No es que me esfuerce pensando en ti… pero algo me molesta.,NEG,0.97,POS,0.72
¡¿Por qué me miras tanto?!,¡Tú también eres un poco raro! ¡No te preocupes por mí!,POS,0.67,POS,0.52
Siento que voy a explotar...,"Tch, me estoy cansando de tus preguntas...",NEU,0.91,NEU,0.88
¡No me gusta cuando me miras así!,No me malinterpretes… ¡pero aprecio que preguntes!,NEG,0.8,NEG,0.93
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.65,NEU,0.59
"No es que me importe, pero...","¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",NEG,0.96,POS,0.73
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",POS,0.76,POS,0.97
